150,Jonny Bairstow,Punjab Kings,O,WK,2,2.5,3,Dhruv,jonny-bairstow,6507
151,Arshdeep Singh,Punjab Kings,I,Bowler,2,2.5,2.5,Dhruv,arshdeep-singh,13217
161,Kagiso Rabada,Punjab Kings,O,Bowler,1,5,7.5,Dhruv,kagiso-rabada,9585
173,Sanju Samson,Rajasthan Royals,I,WK,2,2.5,3.5,Dhruv,sanju-samson,8271
189,Daryl Mitchell,Rajasthan Royals,O,All-Rounder,3,1,1,Dhruv,daryl-mitchell,10713
194,Faf du Plessis,Royal Challengers Bangalore,O,Batsman,1,5,8.5,Dhruv,faf-du-plessis,7825
204,Josh Hazlewood,Royal Challengers Bangalore,O,Bowler,2,2.5,3.5,Dhruv,josh-hazlewood,6258
205,Harshal Patel,Royal Challengers Bangalore,I,Bowler,1,5,5,Dhruv,harshal-patel,8175
225,Romario Shepherd,Sun Risers Hyderabad,O,Bowler,3,1,1,Dhruv,romario-shepherd,13646
50,Prithvi Shaw,Delhi Capitals,I,Batsman,2,2.5,7.5,Sree,prithvi-shaw,12094
60,Shardul Thakur,Delhi Capitals,I,Bowler,2,2.5,6.5,Sree,shardul-thakur,8683
67,Kuldeep Yadav,Delhi Capitals,I,Bowler,2,2.5,1,Sree,kuldeep-yadav,8292
101,Quinton de Kock,Lucknow Super Giants,O,WK,1,5,8,Sree,quinton-de-kock,8520
102,Ravi Bishnoi,Lucknow Super Giants,I,Bowler,2,2.5,4.5,Sree,ravi-bishnoi,14659
117,Jason Holder,Lucknow Super Giants,O,All-Rounder,2,2.5,8,Sree,jason-holder,8313
120,Tilak Varma,Mumbai Indians,I,Batsman,3,1,3,Sree,tilak-varma,14504
126,Ishan Kishan,Mumbai Indians,I,WK,1,5,12.5,Sree,ishan-kishan,10276
159,Harpreet Brar,Punjab Kings,I,Bowler,3,1,0.5,Sree,harpreet-brar,14452
191,Ravichandran Ashwin,Rajasthan Royals,I,All-Rounder,2,2.5,6.5,Sree,ravichandran-ashwin,1593
214,Kane Williamson,Sun Risers Hyderabad,O,Batsman,1,5,7,Sree,kane-williamson,6326
227,J Suchith,Sun Risers Hyderabad,I,Bowler,3,1,0.5,Sree,jagadeesha-suchith,10357
229,Kartik Tyagi,Sun Risers Hyderabad,I,Bowler,3,1,0.5,Sree,kartik-tyagi,13136
231,Bhuvaneshwar Kumar,Sun Risers Hyderabad,I,Bowler,2,2.5,4.5,Sree,bhuvneshwar-kumar,1726
235,Abhishek Sharma,Sun Risers Hyderabad,I,All-Rounder,3,1,4.5,Sree,abhishek-sharma,12086
,Subhranshu Senapati,,,,,,,Open,subhranshu-senapati,11804
,Hari Nishanth,,,,,,,Open,hari-nishanth,11623
,Dwayne Bravo,,,,,,,Open,dwayne-bravo,242
,Dwaine Pretorius,,,,,,,Open,dwaine-pretorius,8651
