S. No.,Player,Team,Type,Role,Tier,Base Price,Winning Bid,Owner,,,,,,,,
85,Rasikh Dar,Kolkata Knight Riders,I,Bowler,3,1,,,,,,,,,,
86,Ashok Sharma,Kolkata Knight Riders,I,Bowler,3,1,,,,,,,,,,
87,Tim Southee,Kolkata Knight Riders,O,Bowler,2,2.5,,,,,,,,,,
88,Umesh Yadav,Kolkata Knight Riders,I,Bowler,2,2.5,,,,,,,,,,
89,Chamika Karunaratne,Kolkata Knight Riders,O,Bowler,3,1,,,,,,,,,,
90,Shivam Mavi,Kolkata Knight Riders,I,Bowler,2,2.5,,,,,,,,,,
91,Andre Russell,Kolkata Knight Riders,O,All-Rounder,2,2.5,7.5,Sauri,,,,,,,,
92,Venkatesh Iyer,Kolkata Knight Riders,I,All-Rounder,2,2.5,9.5,Avadesh,,,,,,,,
93,Sunil Narine,Kolkata Knight Riders,O,All-Rounder,2,2.5,2.5,Dhruv,,,,,,,,
94,Anukul Roy,Kolkata Knight Riders,I,All-Rounder,3,1,,,,,,,,,,
95,Mohammad Nabi,Kolkata Knight Riders,O,All-Rounder,2,2.5,,,,,,,,,,
96,Nitish Rana,Kolkata Knight Riders,I,All-Rounder,2,2.5,9.5,Shekhar,,,,,,,,
97,Manan Vohra,Lucknow Super Giants,I,Batsman,3,1,,,,,,,,,,
98,Evin Lewis,Lucknow Super Giants,O,Batsman,2,2.5,,,,,,,,,,
99,Manish Pandey,Lucknow Super Giants,I,Batsman,2,2.5,1,Sauri,,,,,,,,
100,KL Rahul,Lucknow Super Giants,I,WK,1,5,13.5,Ram,,,,,,,,
101,Quinton de Kock,Lucknow Super Giants,O,WK,1,5,8,Sree,,,,,,,,
102,Ravi Bishnoi,Lucknow Super Giants,I,Bowler,2,2.5,4.5,Sree,,,,,,,,
103,Dushmantha Chameera,Lucknow Super Giants,O,Bowler,3,1,,,,,,,,,,
104,Shahbaz Nadeem,Lucknow Super Giants,I,Bowler,3,1,,,,,,,,,,
105,Mohsin Khan,Lucknow Super Giants,I,Bowler,3,1,,,,,,,,,,
106,Mayank Yadav,Lucknow Super Giants,I,Bowler,3,1,,,,,,,,,,
107,Ankit Rajpoot,Lucknow Super Giants,I,Bowler,3,1,1,Avadesh,,,,,,,,
108,Avesh Khan,Lucknow Super Giants,I,Bowler,2,2.5,4.5,Ram,,,,,,,,
109,Mark Wood,Lucknow Super Giants,O,Bowler,2,2.5,,,,,,,,,,
110,Marcus Stoinis,Lucknow Super Giants,O,All-Rounder,2,2.5,8.5,Avadesh,,,,,,,,
